sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: saikumbh | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.69 | Public IP: 103.96.18.17 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:22 IST Mon Jun 8 2020 | Duration: 9h:22m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 200460345 | Bytes Rx: 234796588 | IP Addr: 10.149.232.69 | Public IP: 103.96.18.17 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:22 IST Mon Jun 8 2020 | Duration: 9h:22m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 200460345 | Bytes Rx: 234796588 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138501 | Audit Session ID: 0a95072a21d050005edd887e | Security Group Tag: none | EasyVPN: 0 |Session ID: 138501 | Audit Session ID: 0a95072a21d050005edd887e | Security Group Tag: none | EasyVPN: 0 ||
Username: dmallamp | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.224 | Public IP: 49.207.134.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:43:12 IST Mon Jun 8 2020 | Duration: 5h:48m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 1269617529 | Bytes Rx: 89480131 | IP Addr: 10.149.232.224 | Public IP: 49.207.134.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:43:12 IST Mon Jun 8 2020 | Duration: 5h:48m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 1269617529 | Bytes Rx: 89480131 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138784 | Audit Session ID: 0a95072a21e200005eddbad8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138784 | Audit Session ID: 0a95072a21e200005eddbad8 | Security Group Tag: none | EasyVPN: 0 ||
Username: haupadhy | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.234 | Public IP: 1.39.244.63 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:43:17 IST Mon Jun 8 2020 | Duration: 5h:47m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 152243636 | Bytes Rx: 39393779 | IP Addr: 10.149.232.234 | Public IP: 1.39.244.63 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:43:17 IST Mon Jun 8 2020 | Duration: 5h:47m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 152243636 | Bytes Rx: 39393779 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138785 | Audit Session ID: 0a95072a21e210005eddbadd | Security Group Tag: none | EasyVPN: 0 |Session ID: 138785 | Audit Session ID: 0a95072a21e210005eddbadd | Security Group Tag: none | EasyVPN: 0 ||
Username: ashsures | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.238 | Public IP: 49.207.129.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:48:03 IST Mon Jun 8 2020 | Duration: 5h:43m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 240274138 | Bytes Rx: 52313701 | IP Addr: 10.149.232.238 | Public IP: 49.207.129.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:48:03 IST Mon Jun 8 2020 | Duration: 5h:43m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 240274138 | Bytes Rx: 52313701 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138793 | Audit Session ID: 0a95072a21e290005eddbbfb | Security Group Tag: none | EasyVPN: 0 |Session ID: 138793 | Audit Session ID: 0a95072a21e290005eddbbfb | Security Group Tag: none | EasyVPN: 0 ||
Username: deeptia | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.239 | Public IP: 122.169.54.58 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:48:12 IST Mon Jun 8 2020 | Duration: 5h:43m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 272212559 | Bytes Rx: 659933704 | IP Addr: 10.149.232.239 | Public IP: 122.169.54.58 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:48:12 IST Mon Jun 8 2020 | Duration: 5h:43m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 272212559 | Bytes Rx: 659933704 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138795 | Audit Session ID: 0a95072a21e2b0005eddbc04 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138795 | Audit Session ID: 0a95072a21e2b0005eddbc04 | Security Group Tag: none | EasyVPN: 0 ||
Username: ypillai | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.244 | Public IP: 183.83.152.173 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:49:15 IST Mon Jun 8 2020 | Duration: 5h:41m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 970972569 | Bytes Rx: 128879770 | IP Addr: 10.149.232.244 | Public IP: 183.83.152.173 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:49:15 IST Mon Jun 8 2020 | Duration: 5h:41m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 970972569 | Bytes Rx: 128879770 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138806 | Audit Session ID: 0a95072a21e360005eddbc43 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138806 | Audit Session ID: 0a95072a21e360005eddbc43 | Security Group Tag: none | EasyVPN: 0 ||
Username: ashwinig | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.248 | Public IP: 157.47.33.50 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:49:45 IST Mon Jun 8 2020 | Duration: 5h:41m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 242547562 | Bytes Rx: 89477268 | IP Addr: 10.149.232.248 | Public IP: 157.47.33.50 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:49:45 IST Mon Jun 8 2020 | Duration: 5h:41m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 242547562 | Bytes Rx: 89477268 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138810 | Audit Session ID: 0a95072a21e3a0005eddbc61 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138810 | Audit Session ID: 0a95072a21e3a0005eddbc61 | Security Group Tag: none | EasyVPN: 0 ||
Username: NKanakat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.250 | Public IP: 122.169.149.44 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:49:54 IST Mon Jun 8 2020 | Duration: 5h:41m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 95127360 | Bytes Rx: 42450534 | IP Addr: 10.149.232.250 | Public IP: 122.169.149.44 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:49:54 IST Mon Jun 8 2020 | Duration: 5h:41m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 95127360 | Bytes Rx: 42450534 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138812 | Audit Session ID: 0a95072a21e3c0005eddbc6a | Security Group Tag: none | EasyVPN: 0 |Session ID: 138812 | Audit Session ID: 0a95072a21e3c0005eddbc6a | Security Group Tag: none | EasyVPN: 0 ||
Username: kthayuma | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.252 | Public IP: 157.50.14.126 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:50:27 IST Mon Jun 8 2020 | Duration: 5h:40m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 304674870 | Bytes Rx: 133979647 | IP Addr: 10.149.232.252 | Public IP: 157.50.14.126 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:50:27 IST Mon Jun 8 2020 | Duration: 5h:40m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 304674870 | Bytes Rx: 133979647 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138814 | Audit Session ID: 0a95072a21e3e0005eddbc8b | Security Group Tag: none | EasyVPN: 0 |Session ID: 138814 | Audit Session ID: 0a95072a21e3e0005eddbc8b | Security Group Tag: none | EasyVPN: 0 ||
Username: POWRI | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.253 | Public IP: 157.46.11.87 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:50:38 IST Mon Jun 8 2020 | Duration: 5h:40m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 352788708 | Bytes Rx: 88374977 | IP Addr: 10.149.232.253 | Public IP: 157.46.11.87 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:50:38 IST Mon Jun 8 2020 | Duration: 5h:40m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 352788708 | Bytes Rx: 88374977 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138816 | Audit Session ID: 0a95072a21e400005eddbc96 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138816 | Audit Session ID: 0a95072a21e400005eddbc96 | Security Group Tag: none | EasyVPN: 0 ||
Username: scourtal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.254 | Public IP: 42.106.178.68 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:50:40 IST Mon Jun 8 2020 | Duration: 5h:40m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 781425597 | Bytes Rx: 91143139 | IP Addr: 10.149.232.254 | Public IP: 42.106.178.68 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:50:40 IST Mon Jun 8 2020 | Duration: 5h:40m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 781425597 | Bytes Rx: 91143139 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138817 | Audit Session ID: 0a95072a21e410005eddbc98 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138817 | Audit Session ID: 0a95072a21e410005eddbc98 | Security Group Tag: none | EasyVPN: 0 ||
Username: kbalan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.1 | Public IP: 157.46.34.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:50:48 IST Mon Jun 8 2020 | Duration: 5h:40m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 415580473 | Bytes Rx: 128995865 | IP Addr: 10.149.233.1 | Public IP: 157.46.34.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:50:48 IST Mon Jun 8 2020 | Duration: 5h:40m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 415580473 | Bytes Rx: 128995865 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138818 | Audit Session ID: 0a95072a21e420005eddbca0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138818 | Audit Session ID: 0a95072a21e420005eddbca0 | Security Group Tag: none | EasyVPN: 0 ||
Username: christop | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.5 | Public IP: 157.46.15.97 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:51:13 IST Mon Jun 8 2020 | Duration: 5h:39m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 369517677 | Bytes Rx: 115916373 | IP Addr: 10.149.233.5 | Public IP: 157.46.15.97 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:51:13 IST Mon Jun 8 2020 | Duration: 5h:39m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 369517677 | Bytes Rx: 115916373 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138822 | Audit Session ID: 0a95072a21e460005eddbcb9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138822 | Audit Session ID: 0a95072a21e460005eddbcb9 | Security Group Tag: none | EasyVPN: 0 ||
Username: bparthas | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.6 | Public IP: 49.37.204.186 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:51:38 IST Mon Jun 8 2020 | Duration: 5h:39m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 417007337 | Bytes Rx: 69841720 | IP Addr: 10.149.233.6 | Public IP: 49.37.204.186 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:51:38 IST Mon Jun 8 2020 | Duration: 5h:39m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 417007337 | Bytes Rx: 69841720 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138823 | Audit Session ID: 0a95072a21e470005eddbcd2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138823 | Audit Session ID: 0a95072a21e470005eddbcd2 | Security Group Tag: none | EasyVPN: 0 ||
Username: arunpran | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.110 | Public IP: 49.206.124.134 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:53:13 IST Mon Jun 8 2020 | Duration: 5h:37m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 716754190 | Bytes Rx: 230977020 | IP Addr: 10.149.232.110 | Public IP: 49.206.124.134 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:53:13 IST Mon Jun 8 2020 | Duration: 5h:37m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 716754190 | Bytes Rx: 230977020 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138825 | Audit Session ID: 0a95072a21e490005eddbd31 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138825 | Audit Session ID: 0a95072a21e490005eddbd31 | Security Group Tag: none | EasyVPN: 0 ||
Username: SSARANYA | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.113 | Public IP: 103.231.216.134 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:54:34 IST Mon Jun 8 2020 | Duration: 5h:36m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 439683319 | Bytes Rx: 62001549 | IP Addr: 10.149.232.113 | Public IP: 103.231.216.134 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:54:34 IST Mon Jun 8 2020 | Duration: 5h:36m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 439683319 | Bytes Rx: 62001549 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138829 | Audit Session ID: 0a95072a21e4d0005eddbd82 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138829 | Audit Session ID: 0a95072a21e4d0005eddbd82 | Security Group Tag: none | EasyVPN: 0 ||
Username: prakashs | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.28 | Public IP: 60.243.100.88 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:55:56 IST Mon Jun 8 2020 | Duration: 5h:35m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 236115859 | Bytes Rx: 76553051 | IP Addr: 10.149.232.28 | Public IP: 60.243.100.88 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:55:56 IST Mon Jun 8 2020 | Duration: 5h:35m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 236115859 | Bytes Rx: 76553051 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138841 | Audit Session ID: 0a95072a21e590005eddbdd4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138841 | Audit Session ID: 0a95072a21e590005eddbdd4 | Security Group Tag: none | EasyVPN: 0 ||
Username: VidyaS | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.30 | Public IP: 182.65.65.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:56:44 IST Mon Jun 8 2020 | Duration: 5h:34m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 488787202 | Bytes Rx: 103526694 | IP Addr: 10.149.232.30 | Public IP: 182.65.65.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:56:44 IST Mon Jun 8 2020 | Duration: 5h:34m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 488787202 | Bytes Rx: 103526694 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138851 | Audit Session ID: 0a95072a21e630005eddbe04 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138851 | Audit Session ID: 0a95072a21e630005eddbe04 | Security Group Tag: none | EasyVPN: 0 ||
Username: manojbas | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.31 | Public IP: 223.228.128.191 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:56:59 IST Mon Jun 8 2020 | Duration: 5h:34m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 268141196 | Bytes Rx: 94976933 | IP Addr: 10.149.232.31 | Public IP: 223.228.128.191 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:56:59 IST Mon Jun 8 2020 | Duration: 5h:34m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 268141196 | Bytes Rx: 94976933 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138852 | Audit Session ID: 0a95072a21e640005eddbe13 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138852 | Audit Session ID: 0a95072a21e640005eddbe13 | Security Group Tag: none | EasyVPN: 0 ||
Username: SDhanase | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.33 | Public IP: 157.50.106.20 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:57:08 IST Mon Jun 8 2020 | Duration: 5h:34m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 165785211 | Bytes Rx: 64728107 | IP Addr: 10.149.232.33 | Public IP: 157.50.106.20 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:57:08 IST Mon Jun 8 2020 | Duration: 5h:34m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 165785211 | Bytes Rx: 64728107 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138855 | Audit Session ID: 0a95072a21e670005eddbe1c | Security Group Tag: none | EasyVPN: 0 |Session ID: 138855 | Audit Session ID: 0a95072a21e670005eddbe1c | Security Group Tag: none | EasyVPN: 0 ||
Username: ssalma | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.34 | Public IP: 106.222.96.27 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:57:10 IST Mon Jun 8 2020 | Duration: 5h:34m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 447168954 | Bytes Rx: 365267940 | IP Addr: 10.149.232.34 | Public IP: 106.222.96.27 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:57:10 IST Mon Jun 8 2020 | Duration: 5h:34m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 447168954 | Bytes Rx: 365267940 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138856 | Audit Session ID: 0a95072a21e680005eddbe1e | Security Group Tag: none | EasyVPN: 0 |Session ID: 138856 | Audit Session ID: 0a95072a21e680005eddbe1e | Security Group Tag: none | EasyVPN: 0 ||
